# Running Times: 10
# P   V   T(ms)   E
0.1 1000 21 99971
0.1 2000 88 399835
0.1 3000 250 900679
0.1 4000 466 1599935
0.1 5000 767 2502886
0.1 6000 1151 3598846
0.1 7000 1641 4899605
0.1 8000 2238 6399935
0.1 9000 2990 8094648
0.1 10000 4038 10003182
0.2 1000 44 199222
0.2 2000 173 799638
0.2 3000 508 1801047
0.2 4000 951 3202225
0.2 5000 1569 5002335
0.2 6000 2368 7201367
0.2 7000 3465 9794920
0.2 8000 4848 12795986
0.2 9000 6619 16196451
0.2 10000 8776 20000983
0.3 1000 64 299933
0.3 2000 318 1199958
0.3 3000 767 2701191
0.3 4000 1435 4796851
0.3 5000 2370 7500677
0.3 6000 3646 10801913
0.3 7000 5333 14696898
0.3 8000 7624 19195563
0.3 9000 10385 24299068
0.3 10000 13925 29995824
0.4 1000 85 400151
0.4 2000 429 1598784
0.4 3000 1028 3601383
0.4 4000 1936 6400556
0.4 5000 3172 10003353
0.4 6000 4907 14397294
0.4 7000 7306 19601082
0.4 8000 10409 25603945
0.4 9000 14170 32401008
0.4 10000 18434 39997508
0.5 1000 106 501204
0.5 2000 536 1998405
0.5 3000 1279 4500925
0.5 4000 2402 8000599
0.5 5000 3985 12502511
0.5 6000 6214 17997759
0.5 7000 9286 24495953
0.5 8000 12979 32003726
0.5 9000 17369 40500522
0.5 10000 22745 49999524
0.6 1000 128 600882
0.6 2000 637 2400973
0.6 3000 1526 5399775
0.6 4000 2872 9597583
0.6 5000 4816 15002745
0.6 6000 7519 21603379
0.6 7000 11138 29397470
0.6 8000 15583 38405805
0.6 9000 20783 48599326
0.6 10000 27548 60002052
0.7 1000 148 699091
0.7 2000 742 2800176
0.7 3000 1764 6302327
0.7 4000 3346 11197957
0.7 5000 5582 17497675
0.7 6000 8784 25202090
0.7 7000 13030 34297463
0.7 8000 17864 44798479
0.7 9000 24366 56696122
0.7 10000 32101 70004029
0.8 1000 169 800315
0.8 2000 840 3199861
0.8 3000 2018 7200610
0.8 4000 3838 12798627
0.8 5000 6357 20000146
0.8 6000 10029 28798748
0.8 7000 14658 39196005
0.8 8000 20435 51199081
0.8 9000 27979 64801248
0.8 10000 36619 80010342
0.9 1000 191 899053
0.9 2000 940 3599682
0.9 3000 2260 8100391
0.9 4000 4256 14400725
0.9 5000 7225 22500355
0.9 6000 11235 32399328
0.9 7000 16492 44099672
0.9 8000 23243 57599236
0.9 9000 31253 72900635
0.9 10000 40893 89995953
1 1000 202 1000000
1 2000 901 4000000
1 3000 2578 9000000
1 4000 5378 16000000
1 5000 9627 25000000
1 6000 14508 36000000
1 7000 19572 49000000
1 8000 30771 64000000
1 9000 38616 81000000
1 10000 52975 100000000
