# Running Times: 10
# P   V   T(ms)   E
0.1 1000 22 99691
0.1 2000 103 399826
0.1 3000 253 901092
0.1 4000 466 1597912
0.1 5000 771 2502331
0.1 6000 1169 3602219
0.1 7000 1662 4900440
0.1 8000 2260 6401250
0.1 9000 3019 8096962
0.1 10000 4027 10004348
0.2 1000 45 200770
0.2 2000 211 799993
0.2 3000 514 1799252
0.2 4000 963 3200340
0.2 5000 1575 4998140
0.2 6000 2386 7201859
0.2 7000 3443 9798956
0.2 8000 4893 12801879
0.2 9000 6697 16194920
0.2 10000 8872 20007382
0.3 1000 64 300487
0.3 2000 321 1199890
0.3 3000 774 2700628
0.3 4000 1449 4797875
0.3 5000 2382 7499044
0.3 6000 3657 10804588
0.3 7000 5369 14695508
0.3 8000 7660 19194931
0.3 9000 10482 24302796
0.3 10000 13892 30005295
0.4 1000 86 400412
0.4 2000 434 1600597
0.4 3000 1039 3597947
0.4 4000 1933 6405624
0.4 5000 3184 9998695
0.4 6000 4928 14393477
0.4 7000 7314 19598072
0.4 8000 10486 25597303
0.4 9000 14171 32400996
0.4 10000 18490 39997084
0.5 1000 106 500560
0.5 2000 541 2001509
0.5 3000 1289 4498074
0.5 4000 2407 7996927
0.5 5000 4007 12499446
0.5 6000 6285 17995972
0.5 7000 9331 24500219
0.5 8000 13049 32004228
0.5 9000 17433 40495422
0.5 10000 22770 50001090
0.6 1000 128 600571
0.6 2000 646 2401581
0.6 3000 1538 5399056
0.6 4000 2886 9597966
0.6 5000 4844 15002490
0.6 6000 7526 21604708
0.6 7000 11062 29398702
0.6 8000 15587 38407873
0.6 9000 20773 48604855
0.6 10000 27510 59987823
0.7 1000 149 699518
0.7 2000 744 2799524
0.7 3000 1779 6300547
0.7 4000 3373 11200290
0.7 5000 5639 17498657
0.7 6000 8829 25203588
0.7 7000 13025 34294267
0.7 8000 18016 44795762
0.7 9000 24355 56698696
0.7 10000 32231 70000056
0.8 1000 172 800133
0.8 2000 852 3199660
0.8 3000 2025 7200829
0.8 4000 3853 12800637
0.8 5000 6421 20001392
0.8 6000 10131 28802442
0.8 7000 14667 39198270
0.8 8000 20392 51207865
0.8 9000 28017 64795941
0.8 10000 36581 80001098
0.9 1000 193 899977
0.9 2000 950 3600224
0.9 3000 2276 8098983
0.9 4000 4297 14399989
0.9 5000 7228 22500461
0.9 6000 11323 32398734
0.9 7000 16490 44098617
0.9 8000 23191 57604152
0.9 9000 31274 72904518
0.9 10000 40995 90000020
1 1000 203 1000000
1 2000 1063 4000000
1 3000 2564 9000000
1 4000 5217 16000000
1 5000 9497 25000000
1 6000 14233 36000000
1 7000 19689 49000000
1 8000 30021 64000000
1 9000 37153 81000000
1 10000 51631 100000000
