# Running Times: 10
# P   V   T(ms)   E
0.1 1000 129 99349
0.1 2000 207 399002
0.1 3000 463 898295
0.1 4000 820 1599345
0.1 5000 1279 2501777
0.1 6000 1839 3599411
0.1 7000 2499 4902072
0.1 8000 3261 6398031
0.1 9000 4127 8104208
0.1 10000 5087 9997382
0.2 1000 104 199782
0.2 2000 410 799888
0.2 3000 918 1799636
0.2 4000 1630 3201193
0.2 5000 2542 5000589
0.2 6000 3657 7199191
0.2 7000 4971 9797158
0.2 8000 6491 12802749
0.2 9000 8211 16200364
0.2 10000 10130 19997778
0.3 1000 155 299846
0.3 2000 612 1200178
0.3 3000 1372 2700161
0.3 4000 2438 4804020
0.3 5000 3805 7497886
0.3 6000 5473 10802208
0.3 7000 7443 14700155
0.3 8000 9715 19201520
0.3 9000 12289 24295313
0.3 10000 15174 30000205
0.4 1000 205 399981
0.4 2000 813 1599499
0.4 3000 1827 3599466
0.4 4000 3241 6397714
0.4 5000 5061 9999975
0.4 6000 7283 14404215
0.4 7000 9909 19597240
0.4 8000 12939 25604569
0.4 9000 16372 32405455
0.4 10000 20209 39999054
0.5 1000 256 500108
0.5 2000 1014 1999329
0.5 3000 2279 4498492
0.5 4000 4050 7999689
0.5 5000 6322 12498445
0.5 6000 9102 17999952
0.5 7000 12376 24500513
0.5 8000 16162 32002495
0.5 9000 20443 40492985
0.5 10000 25234 49994226
0.6 1000 306 600680
0.6 2000 1217 2400400
0.6 3000 2737 5401591
0.6 4000 4856 9598111
0.6 5000 7579 15000700
0.6 6000 10914 21602623
0.6 7000 14848 29401524
0.6 8000 19384 38404529
0.6 9000 24523 48602930
0.6 10000 30263 59997051
0.7 1000 365 699908
0.7 2000 1420 2801443
0.7 3000 3187 6296601
0.7 4000 5658 11197259
0.7 5000 8838 17497931
0.7 6000 12727 25198742
0.7 7000 17317 34304946
0.7 8000 22599 44790451
0.7 9000 28595 56695859
0.7 10000 35302 69999053
0.8 1000 425 799917
0.8 2000 1620 3199907
0.8 3000 3640 7199620
0.8 4000 6468 12803402
0.8 5000 10106 20001515
0.8 6000 14531 28799495
0.8 7000 19774 39199979
0.8 8000 25824 51195397
0.8 9000 32679 64798706
0.8 10000 40337 80002058
0.9 1000 486 900011
0.9 2000 1823 3600661
0.9 3000 4093 8099120
0.9 4000 7282 14400334
0.9 5000 11359 22498787
0.9 6000 16357 32402725
0.9 7000 22246 44100064
0.9 8000 29032 57595124
0.9 9000 36754 72899121
0.9 10000 45354 89993282
1 1000 569 1000000
1 2000 2024 4000000
1 3000 4549 9000000
1 4000 8079 16000000
1 5000 12611 25000000
1 6000 18161 36000000
1 7000 24711 49000000
1 8000 32302 64000000
1 9000 40819 81000000
1 10000 50388 100000000
