# Running Times: 10
# P   V   T(ms)   E
0.1 1000 120675 100146
0.1 2000 208208 399698
0.1 3000 464890 899393
0.1 4000 820390 1598856
0.1 5000 1278524 2499848
0.1 6000 1841653 3598472
0.1 7000 2497282 4898136
0.1 8000 3260355 6402849
0.1 9000 4125088 8100308
0.1 10000 5083790 10000910
0.2 1000 104641 200441
0.2 2000 411194 800395
0.2 3000 918546 1797847
0.2 4000 1631768 3201847
0.2 5000 2540754 4998301
0.2 6000 3653018 7196339
0.2 7000 4971306 9799357
0.2 8000 6494667 12803107
0.2 9000 8213266 16197921
0.2 10000 10132356 20001133
0.3 1000 155571 300632
0.3 2000 613019 1199054
0.3 3000 1371659 2700355
0.3 4000 2430942 4797140
0.3 5000 3796796 7494891
0.3 6000 5468752 10802122
0.3 7000 7442276 14699847
0.3 8000 9701416 19195468
0.3 9000 12284978 24298652
0.3 10000 15157196 29998372
0.4 1000 205586 400337
0.4 2000 814345 1599740
0.4 3000 1825420 3598533
0.4 4000 3254610 6401420
0.4 5000 5056449 9996748
0.4 6000 7273476 14397609
0.4 7000 9904981 19599110
0.4 8000 12932040 25609594
0.4 9000 16372615 32406197
0.4 10000 20185774 39994230
0.5 1000 255326 499402
0.5 2000 1015067 2000634
0.5 3000 2281463 4501211
0.5 4000 4045844 7999773
0.5 5000 6322116 12496827
0.5 6000 9092716 17999908
0.5 7000 12372356 24505480
0.5 8000 16146997 31994096
0.5 9000 20429819 40506554
0.5 10000 25228456 50000655
0.6 1000 306784 600231
0.6 2000 1214864 2397583
0.6 3000 2732052 5401756
0.6 4000 4853027 9599982
0.6 5000 7575212 14998308
0.6 6000 10904409 21604525
0.6 7000 14830898 29397930
0.6 8000 19364958 38397878
0.6 9000 24498960 48603406
0.6 10000 30249379 59998342
0.7 1000 356759 699609
0.7 2000 1418778 2801156
0.7 3000 3183562 6299461
0.7 4000 5658947 11200417
0.7 5000 8838258 17498011
0.7 6000 12726275 25202024
0.7 7000 17321175 34303386
0.7 8000 22585524 44798631
0.7 9000 28589665 56700044
0.7 10000 35297618 69996042
0.8 1000 416049 800334
0.8 2000 1618811 3200065
0.8 3000 3638263 7196987
0.8 4000 6470411 12800689
0.8 5000 10093027 19999424
0.8 6000 14538112 28802591
0.8 7000 19768168 39196678
0.8 8000 25805383 51197966
0.8 9000 32661396 64798371
0.8 10000 40316960 80000664
0.9 1000 476551 900125
0.9 2000 1821403 3599665
0.9 3000 4089898 8101197
0.9 4000 7269460 14400052
0.9 5000 11344743 22497263
0.9 6000 16329798 32399695
0.9 7000 22218249 44100009
0.9 8000 29008778 57598495
0.9 9000 36709034 72903036
0.9 10000 45326608 90000956
1 1000 559861 1000000
1 2000 2023702 4000000
1 3000 4546794 9000000
1 4000 8068904 16000000
1 5000 12600463 25000000
1 6000 18142827 36000000
1 7000 24682926 49000000
1 8000 32216291 64000000
1 9000 40780616 81000000
1 10000 50348886 100000000
