# Running Times: 10
# P   V   T(ms)   E
0.1 1000 129422 100165
0.1 2000 207858 398591
0.1 3000 463780 899807
0.1 4000 821215 1600653
0.1 5000 1279810 2499464
0.1 6000 1840697 3599596
0.1 7000 2502559 4899719
0.1 8000 3261766 6401842
0.1 9000 4124182 8098244
0.1 10000 5092963 10002763
0.2 1000 104506 200325
0.2 2000 410357 799814
0.2 3000 917913 1798780
0.2 4000 1628037 3198045
0.2 5000 2542045 5001395
0.2 6000 3661183 7200095
0.2 7000 4972071 9801096
0.2 8000 6490062 12798828
0.2 9000 8210740 16196736
0.2 10000 10141327 19996835
0.3 1000 154708 299726
0.3 2000 612340 1200077
0.3 3000 1373244 2701267
0.3 4000 2435491 4799972
0.3 5000 3802106 7502275
0.3 6000 5469581 10798051
0.3 7000 7436733 14692607
0.3 8000 9718014 19197897
0.3 9000 12289944 24296294
0.3 10000 15168217 29996334
0.4 1000 206179 400023
0.4 2000 813616 1599051
0.4 3000 1826218 3599152
0.4 4000 3243084 6399851
0.4 5000 5062418 10003287
0.4 6000 7281898 14401213
0.4 7000 9907979 19598350
0.4 8000 12937672 25598773
0.4 9000 16379387 32403048
0.4 10000 20207749 39997944
0.5 1000 255461 499311
0.5 2000 1015884 2000297
0.5 3000 2279713 4498989
0.5 4000 4050843 7999826
0.5 5000 6319194 12496867
0.5 6000 9097957 17998295
0.5 7000 12377345 24502340
0.5 8000 16161408 31996759
0.5 9000 20448344 40499356
0.5 10000 25230813 50006364
0.6 1000 306114 599832
0.6 2000 1217888 2398706
0.6 3000 2731873 5399219
0.6 4000 4855925 9600472
0.6 5000 7572105 14996727
0.6 6000 10904423 21602946
0.6 7000 14835571 29390748
0.6 8000 19376346 38393204
0.6 9000 24507556 48595215
0.6 10000 30263247 60004214
0.7 1000 361421 700174
0.7 2000 1419524 2801121
0.7 3000 3185978 6299462
0.7 4000 5660700 11201223
0.7 5000 8837608 17498635
0.7 6000 12712268 25194004
0.7 7000 17296778 34302112
0.7 8000 22590402 44806462
0.7 9000 28580689 56706429
0.7 10000 35302347 69997831
0.8 1000 424517 799276
0.8 2000 1620936 3200652
0.8 3000 3643615 7202066
0.8 4000 6466126 12800813
0.8 5000 10097646 20002770
0.8 6000 14532413 28797980
0.8 7000 19777352 39201601
0.8 8000 25825937 51201970
0.8 9000 32680749 64794691
0.8 10000 40330938 80000336
0.9 1000 485707 899756
0.9 2000 1822831 3600477
0.9 3000 4093949 8099366
0.9 4000 7274240 14399274
0.9 5000 11356295 22501276
0.9 6000 16349316 32400487
0.9 7000 22211534 44096863
0.9 8000 29031862 57599403
0.9 9000 36716174 72895669
0.9 10000 45331935 90002062
1 1000 569159 1000000
1 2000 2025350 4000000
1 3000 4544156 9000000
1 4000 8070621 16000000
1 5000 12610546 25000000
1 6000 18150594 36000000
1 7000 24691211 49000000
1 8000 32237465 64000000
1 9000 40777115 81000000
1 10000 50332604 100000000
