# Running Times: 10
# P   V   T(ms)   E
0.1 1000 2 100280
0.1 2000 10 399433
0.1 3000 22 899166
0.1 4000 40 1598680
0.1 5000 62 2496432
0.1 6000 88 3599680
0.1 7000 120 4899675
0.1 8000 155 6399358
0.1 9000 197 8101056
0.1 10000 241 9996917
0.2 1000 5 199783
0.2 2000 20 800320
0.2 3000 44 1799505
0.2 4000 78 3201512
0.2 5000 121 5002070
0.2 6000 173 7202835
0.2 7000 234 9797229
0.2 8000 305 12795351
0.2 9000 387 16202231
0.2 10000 476 20000923
0.3 1000 7 299958
0.3 2000 29 1201562
0.3 3000 65 2700562
0.3 4000 116 4803211
0.3 5000 184 7497667
0.3 6000 258 10801576
0.3 7000 350 14698874
0.3 8000 456 19196624
0.3 9000 578 24304548
0.3 10000 714 30000974
0.4 1000 10 400569
0.4 2000 39 1600311
0.4 3000 87 3596793
0.4 4000 153 6400080
0.4 5000 239 10000652
0.4 6000 342 14402928
0.4 7000 467 19597209
0.4 8000 611 25600768
0.4 9000 769 32391715
0.4 10000 951 39991912
0.5 1000 12 500614
0.5 2000 48 1999928
0.5 3000 108 4498760
0.5 4000 191 7998001
0.5 5000 299 12495860
0.5 6000 428 17998642
0.5 7000 582 24504142
0.5 8000 759 31994204
0.5 9000 960 40508270
0.5 10000 1184 49996821
0.6 1000 14 600312
0.6 2000 58 2400492
0.6 3000 130 5402597
0.6 4000 229 9599766
0.6 5000 357 14996709
0.6 6000 513 21598021
0.6 7000 701 29399596
0.6 8000 910 38398679
0.6 9000 1152 48604562
0.6 10000 1422 60012101
0.7 1000 17 699844
0.7 2000 68 2801276
0.7 3000 150 6297687
0.7 4000 267 11200187
0.7 5000 415 17499441
0.7 6000 598 25200151
0.7 7000 815 34301003
0.7 8000 1062 44797743
0.7 9000 1343 56702616
0.7 10000 1656 69999333
0.8 1000 19 800314
0.8 2000 77 3199759
0.8 3000 171 7200490
0.8 4000 305 12799992
0.8 5000 475 19998761
0.8 6000 683 28801899
0.8 7000 929 39204873
0.8 8000 1211 51198848
0.8 9000 1534 64804301
0.8 10000 1899 79999766
0.9 1000 22 899586
0.9 2000 86 3599943
0.9 3000 193 8100643
0.9 4000 342 14400391
0.9 5000 534 22499450
0.9 6000 767 32399382
0.9 7000 1046 44096339
0.9 8000 1363 57598155
0.9 9000 1725 72894021
0.9 10000 2129 89993524
1 1000 24 1000000
1 2000 96 4000000
1 3000 214 9000000
1 4000 380 16000000
1 5000 593 25000000
1 6000 851 36000000
1 7000 1161 49000000
1 8000 1514 64000000
1 9000 1918 81000000
1 10000 2366 100000000
