# Running Times: 10
# P   V   T(ms)   E
0.1 1000 2 99788
0.1 2000 10 399919
0.1 3000 23 899903
0.1 4000 40 1600881
0.1 5000 63 2497207
0.1 6000 89 3601106
0.1 7000 120 4900097
0.1 8000 154 6397133
0.1 9000 195 8101347
0.1 10000 242 9999753
0.2 1000 5 199378
0.2 2000 20 800761
0.2 3000 44 1799890
0.2 4000 78 3201617
0.2 5000 120 4999008
0.2 6000 173 7199000
0.2 7000 235 9800942
0.2 8000 307 12800331
0.2 9000 387 16192931
0.2 10000 478 19997644
0.3 1000 8 300109
0.3 2000 30 1198665
0.3 3000 66 2700584
0.3 4000 118 4800128
0.3 5000 182 7500714
0.3 6000 258 10797744
0.3 7000 352 14695042
0.3 8000 457 19200259
0.3 9000 579 24302770
0.3 10000 713 29997353
0.4 1000 10 400371
0.4 2000 40 1601137
0.4 3000 87 3601906
0.4 4000 154 6397202
0.4 5000 241 10001477
0.4 6000 345 14396920
0.4 7000 468 19598274
0.4 8000 610 25601563
0.4 9000 770 32399775
0.4 10000 950 40003392
0.5 1000 12 499021
0.5 2000 49 2000845
0.5 3000 109 4500632
0.5 4000 191 8003470
0.5 5000 300 12502228
0.5 6000 429 17995445
0.5 7000 584 24501396
0.5 8000 760 31998297
0.5 9000 962 40508030
0.5 10000 1185 49991968
0.6 1000 15 599819
0.6 2000 59 2399732
0.6 3000 129 5399981
0.6 4000 229 9597574
0.6 5000 358 14999498
0.6 6000 514 21600997
0.6 7000 700 29398468
0.6 8000 911 38403594
0.6 9000 1152 48602894
0.6 10000 1422 60000468
0.7 1000 17 699776
0.7 2000 68 2799227
0.7 3000 150 6298015
0.7 4000 267 11199862
0.7 5000 416 17503761
0.7 6000 597 25200125
0.7 7000 813 34299355
0.7 8000 1060 44806743
0.7 9000 1345 56700142
0.7 10000 1659 70000313
0.8 1000 20 799814
0.8 2000 77 3199711
0.8 3000 171 7201280
0.8 4000 304 12798570
0.8 5000 475 19999468
0.8 6000 686 28802948
0.8 7000 930 39202306
0.8 8000 1212 51197394
0.8 9000 1535 64800945
0.8 10000 1891 79998269
0.9 1000 22 900143
0.9 2000 88 3599888
0.9 3000 193 8099668
0.9 4000 344 14400182
0.9 5000 533 22499530
0.9 6000 769 32399850
0.9 7000 1045 44097630
0.9 8000 1364 57604636
0.9 9000 1725 72904809
0.9 10000 2129 89999577
1 1000 24 1000000
1 2000 96 4000000
1 3000 214 9000000
1 4000 380 16000000
1 5000 593 25000000
1 6000 854 36000000
1 7000 1159 49000000
1 8000 1513 64000000
1 9000 1923 81000000
1 10000 2369 100000000
